time,block_index,position,velocity,acceleration
0.0340,34,35.783376,0.000000,0.000000
0.0340,35,36.697047,0.000000,-0.000000
0.0340,36,37.784315,0.000000,0.000000
0.0340,37,38.657568,0.000000,-0.000000
0.0340,38,39.458459,0.000000,0.000000
0.0340,39,40.516858,0.000000,0.000000
0.0340,40,41.614774,0.000000,-0.000000
0.0340,41,42.557305,0.000000,0.000000
0.0340,42,43.737907,0.000000,0.000000
0.0340,43,44.817367,0.000000,0.000000
0.0340,44,45.759014,0.000000,-0.000000
0.0340,45,46.821013,0.000000,0.000000
0.0340,46,48.005579,0.000000,-0.000000
0.0340,47,48.919696,0.000000,0.000000
0.0340,48,50.028940,0.000000,0.000000
0.0340,49,51.127501,0.000000,0.000000
0.0340,50,52.069150,0.000000,-0.000000
0.0340,51,52.903255,0.000000,0.000000
0.0340,52,53.901623,0.000000,0.000000
0.0340,53,54.893541,0.000000,0.000000
0.0340,54,56.052159,0.000000,-0.000000
0.0340,55,57.179972,0.000000,0.000000
0.0340,56,58.203242,0.000000,0.000000
0.0340,57,59.080779,0.000000,0.000000
0.0340,58,59.950593,0.000000,-0.000000
0.0340,59,61.082517,0.000000,0.000000
0.0340,60,61.905012,0.000000,0.000000
0.0340,61,63.021984,0.000000,-0.000000
0.0340,62,64.039230,0.000000,0.000000
0.0340,63,65.096567,0.000000,0.000000
0.0340,64,66.146504,0.000000,0.000000
0.0340,65,67.273437,0.000000,-0.000000
0.0340,66,68.387039,0.000000,0.000000
0.0340,67,69.205714,0.000000,0.000000
0.0340,68,70.304260,0.000000,-0.000000
0.0340,69,71.387302,0.000000,0.000000
0.0340,70,72.580560,0.000000,0.000000
0.0340,71,73.701861,0.000000,0.000000
0.0340,72,74.636005,0.000000,0.000000
0.0340,73,75.523527,0.000000,0.000000
0.0340,74,76.462761,0.000000,-0.000000
0.0340,75,77.342878,0.000000,0.000000
0.0340,76,78.163219,0.000000,-0.000000
0.0340,77,79.151623,0.000000,0.000000
0.0340,78,80.142670,0.000000,0.000000
0.0340,79,81.255726,0.000000,0.000000
0.0340,80,82.379637,0.000000,0.000000
0.0340,81,83.302948,0.000000,0.000000
0.0340,82,84.391855,0.000000,0.000000
0.0340,83,85.404436,0.000000,-0.000000
0.0340,84,86.438222,0.000000,0.000000
0.0340,85,87.587929,0.000000,-0.000000
0.0340,86,88.689397,0.000000,0.000000
0.0340,87,89.639051,0.000000,0.000000
0.0340,88,90.535502,0.000000,-0.000000
0.0340,89,91.360956,0.000000,0.000000
0.0340,90,92.265597,0.000000,-0.000000
0.0340,91,93.178666,0.000000,0.000000
0.0340,92,94.148452,0.000000,0.000000
0.0340,93,95.304725,0.000000,0.000000
0.0340,94,96.146072,0.000000,0.000000
0.0340,95,97.118047,0.000000,0.000000
0.0340,96,97.945442,0.000000,0.000000
0.0340,97,98.857971,0.000000,-0.000000
0.0340,98,99.933303,0.000000,0.000000
0.0340,99,100.958578,0.000000,0.000000
0.0500,0,1.626873,-0.984150,-18.647119
0.0500,1,2.282659,0.391166,7.221563
0.0500,2,3.380312,0.003814,0.228464
0.0500,3,4.333427,0.000011,0.001094
0.0500,4,5.300308,0.000000,0.000002
0.0500,5,6.415855,0.000000,0.000000
0.0500,6,7.582256,0.000000,0.000000
0.0500,7,8.594981,0.000000,0.000000
0.0500,8,9.604565,0.000000,0.000000
0.0500,9,10.789159,0.000000,0.000000
0.0500,10,11.693296,0.000000,0.000000
0.0500,11,12.668245,0.000000,0.000000
0.0500,12,13.548620,0.000000,0.000000
0.0500,13,14.658091,0.000000,0.000000
0.0500,14,15.647715,0.000000,0.000000
0.0500,15,16.828535,0.000000,0.000000
0.0500,16,17.725294,0.000000,0.000000
0.0500,17,18.528544,0.000000,-0.000000
0.0500,18,19.387094,0.000000,0.000000
0.0500,19,20.569846,0.000000,0.000000
0.0500,20,21.696789,0.000000,0.000000
0.0500,21,22.669362,0.000000,0.000000
0.0500,22,23.616583,0.000000,0.000000
0.0500,23,24.453432,0.000000,-0.000000
0.0500,24,25.487604,0.000000,0.000000
0.0500,25,26.351553,0.000000,0.000000
0.0500,26,27.409353,0.000000,-0.000000
0.0500,27,28.400149,0.000000,0.000000
0.0500,28,29.369482,0.000000,0.000000
0.0500,29,30.498940,0.000000,-0.000000
0.0500,30,31.426022,0.000000,0.000000
0.0500,31,32.510162,0.000000,-0.000000
0.0500,32,33.612209,0.000000,0.000000
0.0500,33,34.735084,0.000000,-0.000000
0.0500,34,35.783376,0.000000,0.000000
0.0500,35,36.697047,0.000000,-0.000000
0.0500,36,37.784315,0.000000,0.000000
0.0500,37,38.657568,0.000000,-0.000000
0.0500,38,39.458459,0.000000,0.000000
0.0500,39,40.516858,0.000000,0.000000
0.0500,40,41.614774,0.000000,-0.000000
0.0500,41,42.557305,0.000000,0.000000
0.0500,42,43.737907,0.000000,0.000000
0.0500,43,44.817367,0.000000,0.000000
0.0500,44,45.759014,0.000000,-0.000000
0.0500,45,46.821013,0.000000,0.000000
0.0500,46,48.005579,0.000000,-0.000000
0.0500,47,48.919696,0.000000,0.000000
0.0500,48,50.028940,0.000000,0.000000
0.0500,49,51.127501,0.000000,0.000000
0.0500,50,52.069150,0.000000,-0.000000
0.0500,51,52.903255,0.000000,0.000000
0.0500,52,53.901623,0.000000,0.000000
0.0500,53,54.893541,0.000000,0.000000
0.0500,54,56.052159,0.000000,-0.000000
0.0500,55,57.179972,0.000000,0.000000
0.0500,56,58.203242,0.000000,0.000000
0.0500,57,59.080779,0.000000,0.000000
0.0500,58,59.950593,0.000000,-0.000000
0.0500,59,61.082517,0.000000,0.000000
