time,kinetic_energy,potential_energy,total_energy
4.9670,0.235832,0.264168,0.500000
4.9840,0.237471,0.262529,0.500000
5.0000,0.239102,0.260898,0.500000
5.0170,0.240913,0.259087,0.500000
5.0340,0.242789,0.257211,0.500000
5.0500,0.244597,0.255402,0.500000
5.0670,0.246548,0.253452,0.500000
5.0840,0.248510,0.251490,0.500000
5.1000,0.250352,0.249648,0.500000
5.1170,0.252287,0.247713,0.500000
5.1340,0.254182,0.245818,0.500000
5.1500,0.255915,0.244085,0.500000
5.1670,0.257686,0.242314,0.500000
5.1840,0.259370,0.240630,0.500000
5.2000,0.260863,0.239137,0.500000
5.2170,0.262339,0.237661,0.500000
5.2340,0.263688,0.236311,0.500000
5.2500,0.264833,0.235166,0.500000
5.2670,0.265908,0.234092,0.500000
5.2840,0.266828,0.233172,0.500000
5.3000,0.267547,0.232453,0.500000
5.3170,0.268149,0.231851,0.500000
5.3340,0.268580,0.231420,0.500000
5.3500,0.268829,0.231171,0.500000
5.3670,0.268924,0.231076,0.500000
5.3840,0.268847,0.231153,0.500000
5.4000,0.268619,0.231381,0.500000
5.4170,0.268214,0.231785,0.500000
5.4340,0.267648,0.232351,0.500000
5.4500,0.266974,0.233026,0.500000
5.4670,0.266114,0.233886,0.500000
5.4840,0.265116,0.234884,0.500000
5.5000,0.264059,0.235941,0.500000
5.5170,0.262822,0.237178,0.500000
5.5340,0.261480,0.238520,0.500000
5.5500,0.260133,0.239867,0.500000
5.5670,0.258624,0.241375,0.500000
5.5840,0.257051,0.242949,0.500000
5.6000,0.255525,0.244475,0.500000
5.6170,0.253868,0.246131,0.500000
5.6340,0.252192,0.247808,0.500000
5.6500,0.250609,0.249391,0.500000
5.6670,0.248937,0.251063,0.500000
5.6840,0.247289,0.252711,0.500000
5.7000,0.245773,0.254226,0.500000
5.7170,0.244215,0.255785,0.500000
5.7340,0.242722,0.257278,0.500000
5.7500,0.241390,0.258610,0.500000
5.7670,0.240062,0.259938,0.500000
5.7840,0.238836,0.261163,0.500000
5.8000,0.237785,0.262214,0.500000
5.8170,0.236786,0.263214,0.500000
5.8340,0.235915,0.264084,0.500000
5.8500,0.235220,0.264780,0.500000
5.8670,0.234618,0.265382,0.500000
5.8840,0.234160,0.265839,0.500000
5.9000,0.233866,0.266134,0.500000
5.9170,0.233697,0.266302,0.500000
5.9340,0.233679,0.266321,0.500000
5.9500,0.233798,0.266202,0.500000
5.9670,0.234066,0.265934,0.500000
5.9840,0.234477,0.265523,0.500000
6.0000,0.234990,0.265010,0.500000
6.0170,0.235663,0.264337,0.500000
6.0340,0.236461,0.263539,0.500000
6.0500,0.237319,0.262681,0.500000
6.0670,0.238335,0.261665,0.500000
6.0840,0.239448,0.260551,0.500000
6.1000,0.240576,0.259423,0.500000
6.1170,0.241848,0.258151,0.500000
6.1340,0.243184,0.256816,0.500000
6.1500,0.244488,0.255511,0.500000
6.1670,0.245911,0.254088,0.500000
6.1840,0.247360,0.252639,0.500000
6.2000,0.248735,0.251264,0.500000
6.2170,0.250196,0.249804,0.500000
6.2340,0.251643,0.248357,0.500000
6.2500,0.252980,0.247020,0.500000
6.2670,0.254364,0.245636,0.500000
6.2840,0.255696,0.244303,0.500000
6.3000,0.256893,0.243106,0.500000
6.3170,0.258094,0.241905,0.500000
6.3340,0.259212,0.240788,0.500000
6.3500,0.260179,0.239820,0.500000
6.3670,0.261109,0.238891,0.500000
6.3840,0.261930,0.238070,0.500000
6.4000,0.262597,0.237403,0.500000
6.4170,0.263189,0.236811,0.500000
6.4340,0.263656,0.236344,0.500000
6.4500,0.263978,0.236021,0.500000
6.4670,0.264195,0.235805,0.500000
6.4840,0.264280,0.235720,0.500000
6.5000,0.264240,0.235760,0.500000
6.5170,0.264072,0.235927,0.500000
6.5340,0.263777,0.236222,0.500000
6.5500,0.263387,0.236613,0.500000
6.5670,0.262857,0.237143,0.500000
6.5840,0.262213,0.237786,0.500000
6.6000,0.261510,0.238489,0.500000
6.6170,0.260667,0.239333,0.500000
6.6340,0.259733,0.240267,0.500000
6.6500,0.258779,0.241221,0.500000
6.6670,0.257695,0.242305,0.500000
6.6840,0.256549,0.243451,0.500000
6.7000,0.255423,0.244577,0.500000
6.7170,0.254188,0.245812,0.500000
6.7340,0.252924,0.247075,0.500000
6.7500,0.251719,0.248281,0.500000
6.7670,0.250432,0.249568,0.500000
6.7840,0.249151,0.250849,0.500000
6.8000,0.247961,0.252039,0.500000
6.8170,0.246724,0.253276,0.500000
6.8340,0.245526,0.254474,0.500000
6.8500,0.244444,0.255556,0.500000
6.8670,0.243351,0.256649,0.500000
6.8840,0.242328,0.257672,0.500000
6.9000,0.241435,0.258565,0.500000
6.9170,0.240569,0.259430,0.500000
6.9340,0.239796,0.260204,0.500000
6.9500,0.239159,0.260841,0.500000
6.9670,0.238582,0.261417,0.500000
6.9840,0.238115,0.261885,0.500000
7.0000,0.237776,0.262223,0.500000
7.0170,0.237528,0.262472,0.500000
7.0340,0.237396,0.262604,0.500000
7.0500,0.237377,0.262623,0.500000
7.0670,0.237469,0.262530,0.500000
7.0840,0.237676,0.262324,0.500000
7.1000,0.237971,0.262029,0.500000
7.1170,0.238390,0.261610,0.500000
7.1340,0.238912,0.261088,0.500000
7.1500,0.239492,0.260508,0.500000
7.1670,0.240197,0.259802,0.500000
7.1840,0.240988,0.259012,0.500000
7.2000,0.241802,0.258198,0.500000
7.2170,0.242733,0.257266,0.500000
7.2340,0.243725,0.256275,0.500000
7.2500,0.244704,0.255295,0.500000
7.2670,0.245785,0.254215,0.500000
7.2840,0.246896,0.253103,0.500000
7.3000,0.247962,0.252038,0.500000
7.3170,0.249104,0.250896,0.500000
7.3340,0.250246,0.249754,0.500000
7.3500,0.251312,0.248687,0.500000
7.3670,0.252426,0.247574,0.500000
7.3840,0.253509,0.246490,0.500000
7.4000,0.254493,0.245506,0.500000
7.4170,0.255492,0.244508,0.500000
7.4340,0.256433,0.243567,0.500000
7.4500,0.257260,0.242740,0.500000
7.4670,0.258067,0.241932,0.500000
7.4840,0.258796,0.241204,0.500000
7.5000,0.259404,0.240596,0.500000
7.5170,0.259962,0.240038,0.500000
7.5340,0.260425,0.239575,0.500000
7.5500,0.260771,0.239229,0.500000
7.5670,0.261040,0.238959,0.500000
7.5840,0.261207,0.238793,0.500000
7.6000,0.261269,0.238731,0.500000
7.6170,0.261235,0.238765,0.500000
7.6340,0.261098,0.238902,0.500000
7.6500,0.260877,0.239123,0.500000
7.6670,0.260547,0.239453,0.500000
7.6840,0.260122,0.239877,0.500000
7.7000,0.259641,0.240359,0.500000
7.7170,0.259047,0.240953,0.500000
7.7340,0.258374,0.241625,0.500000
7.7500,0.257675,0.242325,0.500000
7.7670,0.256869,0.243131,0.500000
7.7840,0.256005,0.243995,0.500000
7.8000,0.255146,0.244853,0.500000
7.8170,0.254194,0.245805,0.500000
7.8340,0.253210,0.246790,0.500000
7.8500,0.252263,0.247737,0.500000
7.8670,0.251242,0.248757,0.500000
7.8840,0.250217,0.249783,0.500000
7.9000,0.249256,0.250743,0.500000
7.9170,0.248248,0.251751,0.500000
7.9340,0.247263,0.252737,0.500000
7.9500,0.246364,0.253636,0.500000
7.9670,0.245447,0.254552,0.500000
7.9840,0.244578,0.255421,0.500000
8.0000,0.243810,0.256189,0.500000
8.0170,0.243055,0.256945,0.500000
8.0340,0.242367,0.257632,0.500000
8.0500,0.241788,0.258211,0.500000
8.0670,0.241250,0.258750,0.500000
8.0840,0.240795,0.259205,0.500000
8.1000,0.240446,0.259554,0.500000
8.1170,0.240163,0.259837,0.500000
8.1340,0.239971,0.260028,0.500000
8.1500,0.239876,0.260123,0.500000
8.1670,0.239866,0.260134,0.500000
8.1840,0.239948,0.260051,0.500000
8.2000,0.240110,0.259890,0.500000
8.2170,0.240368,0.259632,0.500000
8.2340,0.240713,0.259287,0.500000
8.2500,0.241113,0.258886,0.500000
8.2670,0.241615,0.258384,0.500000
8.2840,0.242191,0.257809,0.500000
8.3000,0.242795,0.257205,0.500000
8.3170,0.243497,0.256503,0.500000
8.3340,0.244254,0.255745,0.500000
8.3500,0.245011,0.254989,0.500000
8.3670,0.245855,0.254145,0.500000
8.3840,0.246731,0.253269,0.500000
8.4000,0.247579,0.252421,0.500000
8.4170,0.248495,0.251504,0.500000
8.4340,0.249420,0.250579,0.500000
8.4500,0.250291,0.249709,0.500000
8.4670,0.251208,0.248792,0.500000
8.4840,0.252108,0.247892,0.500000
8.5000,0.252933,0.247067,0.500000
8.5170,0.253778,0.246222,0.500000
8.5340,0.254583,0.245416,0.500000
8.5500,0.255299,0.244701,0.500000
8.5670,0.256007,0.243992,0.500000
8.5840,0.256657,0.243343,0.500000
8.6000,0.257209,0.242791,0.500000
8.6170,0.257727,0.242272,0.500000
8.6340,0.258172,0.241827,0.500000
8.6500,0.258520,0.241479,0.500000
8.6670,0.258812,0.241187,0.500000
8.6840,0.259021,0.240978,0.500000
8.7000,0.259142,0.240858,0.500000
8.7170,0.259188,0.240812,0.500000
8.7340,0.259149,0.240851,0.500000
8.7500,0.259036,0.240964,0.500000
8.7670,0.258836,0.241163,0.500000
8.7840,0.258557,0.241443,0.500000
8.8000,0.258223,0.241776,0.500000
8.8170,0.257798,0.242202,0.500000
8.8340,0.257303,0.242696,0.500000
8.8500,0.256779,0.243220,0.500000
8.8670,0.256165,0.243834,0.500000
8.8840,0.255498,0.244501,0.500000
8.9000,0.254828,0.245172,0.500000
8.9170,0.254077,0.245923,0.500000
8.9340,0.253292,0.246708,0.500000
8.9500,0.252530,0.247470,0.500000
8.9670,0.251703,0.248297,0.500000
8.9840,0.250864,0.249136,0.500000
9.0000,0.250072,0.249928,0.500000
9.0170,0.249234,0.250765,0.500000
